country_key,country,region_key,region,year,date,holiday
ca,Canada,yt,Yukon,2026,2026-04-05,Easter Sunday
ca,Canada,yt,Yukon,2026,2026-04-06,Easter Monday
ca,Canada,yt,Yukon,2026,2026-05-18,Victoria Day
ca,Canada,yt,Yukon,2026,2026-06-21,National Indigenous Peoples Day
ca,Canada,yt,Yukon,2026,2026-07-01,Canada Day
ca,Canada,yt,Yukon,2026,2026-08-03,Civic Holiday
ca,Canada,yt,Yukon,2026,2026-08-17,Discovery Day
ca,Canada,yt,Yukon,2026,2026-09-07,Labour Day
ca,Canada,yt,Yukon,2026,2026-10-12,Thanksgiving
ca,Canada,yt,Yukon,2026,2026-11-11,Remembrance Day
ca,Canada,yt,Yukon,2026,2026-12-25,Christmas Day
ca,Canada,yt,Yukon,2026,2026-12-26,Boxing Day
ca,Canada,yt,Yukon,2027,2027-01-01,New Year's Day
ca,Canada,yt,Yukon,2027,2027-03-26,Good Friday
ca,Canada,yt,Yukon,2027,2027-03-28,Easter Sunday
ca,Canada,yt,Yukon,2027,2027-03-29,Easter Monday
ca,Canada,yt,Yukon,2027,2027-05-24,Victoria Day
ca,Canada,yt,Yukon,2027,2027-06-21,National Indigenous Peoples Day
ca,Canada,yt,Yukon,2027,2027-07-01,Canada Day
ca,Canada,yt,Yukon,2027,2027-08-02,Civic Holiday
ca,Canada,yt,Yukon,2027,2027-08-16,Discovery Day
ca,Canada,yt,Yukon,2027,2027-09-06,Labour Day
ca,Canada,yt,Yukon,2027,2027-10-11,Thanksgiving
ca,Canada,yt,Yukon,2027,2027-11-11,Remembrance Day
ca,Canada,yt,Yukon,2027,2027-12-25,Christmas Day
ca,Canada,yt,Yukon,2027,2027-12-26,Boxing Day
us,United States,federal,Federal holidays,2026,2026-01-01,New Year's Day
us,United States,federal,Federal holidays,2026,2026-01-19,Martin Luther King Jr. Day
us,United States,federal,Federal holidays,2026,2026-02-16,Washington's Birthday
us,United States,federal,Federal holidays,2026,2026-05-25,Memorial Day
us,United States,federal,Federal holidays,2026,2026-06-19,Juneteenth
us,United States,federal,Federal holidays,2026,2026-07-03,Independence Day (substitute day)
us,United States,federal,Federal holidays,2026,2026-07-04,Independence Day
us,United States,federal,Federal holidays,2026,2026-09-07,Labour Day
us,United States,federal,Federal holidays,2026,2026-10-12,Columbus Day
us,United States,federal,Federal holidays,2026,2026-11-11,Veterans Day
us,United States,federal,Federal holidays,2026,2026-11-26,Thanksgiving Day
us,United States,federal,Federal holidays,2026,2026-12-25,Christmas Day
us,United States,federal,Federal holidays,2027,2027-01-01,New Year's Day
us,United States,federal,Federal holidays,2027,2027-01-18,Martin Luther King Jr. Day
us,United States,federal,Federal holidays,2027,2027-02-15,Washington's Birthday
